Extension rate,Mass loss
13.19,37.4
1.1,29.8
0.92,33
9.9,45.7
13.54,49
15.41,67.4
4.64,12.6
5.46,14.3
5.9,13.6
1.03,11.4
13.6,26
10.11,29.6
2.33,19.9
7.9,27.2
15.96,26.2
7.72,20.2
16.48,36.6
15.6,31.5
10.84,25.2
3.31,21.1
15.36,23.2
2.49,15.2
15.66,28.2
3.29,18.2
1.26,27.7
12.08,46.9
6.2,27.3
13.3,46.2
10.88,44.5
16.4,59.2
6.95,29
1.98,25.3
8.21,32.4
2.05,27.9
8.79,37
15.86,53.2
9.06,45.2
16.03,80.2
15.57,81.9
14.38,81.5
6.65,80.1
0.22,57.3
7.13,81.5
7.82,97.5
4.69,46.1
15.86,67.6
2.66,79
14.33,56.9
15.41,68.8
1.45,60.4
1.08,69.9
3.38,47.8
0.26,54.5
1.34,68.5
1.94,67
15.09,84.7
15.19,84.6
7.49,58.8
0.09,62.1
0.02,37.9
0.64,27.6
6.29,32.1
5.33,50.7
3.18,69.1
0.43,81.8
2.26,62.8
0.06,54.5
0.48,67.4
1.9,63.2
0.34,54.3
0.26,44.5
2.69,74.2
1.82,66.3
