species,matric_pot,hyphal_rate,type
a.gal1.s,-1,0.449019608,measured
a.gal1.s,-1.5,0.343137255,measured
a.gal1.s,-2.5,0.223529412,measured
a.gal1.s,-3.5,0.162745098,measured
a.gal1.s,-4.5,0.178431373,measured
a.gal1.s,0,0,measured
a.gal1.s,-0.5,0.247058824,measured
a.gal10.n,-1,0.549019608,measured
a.gal10.n,-1.5,0.492156863,measured
a.gal10.n,-2.5,0.3,measured
a.gal10.n,-3.5,0.092156863,measured
a.gal10.n,-4.5,0.084313725,measured
a.gal10.n,0,0,measured
a.gal10.n,-0.5,0.347058824,measured
a.gal2.s,-1,0.374509804,measured
a.gal2.s,-1.5,0.376470588,measured
a.gal2.s,-2.5,0.225490196,measured
a.gal2.s,-3.5,0.239215686,measured
a.gal2.s,-4.5,0.178431373,measured
a.gal2.s,0,0,measured
a.gal2.s,-0.5,0.209803922,measured
a.gal3.s,-1,0.296078431,measured
a.gal3.s,-1.5,0.307843137,measured
a.gal3.s,-2.5,0.211764706,measured
a.gal3.s,-3.5,0.188235294,measured
a.gal3.s,-4.5,0.180392157,measured
a.gal3.s,0,0,measured
a.gal3.s,-0.5,0.245098039,measured
a.gal4.s,-1,0.254901961,measured
a.gal4.s,-1.5,0.18627451,measured
a.gal4.s,-2.5,0.219607843,measured
a.gal4.s,-3.5,0.117647059,measured
a.gal4.s,-4.5,0.162745098,measured
a.gal4.s,0,0,measured
a.gal4.s,-0.5,0.154901961,measured
a.gal5.s,-1,0.594117647,measured
a.gal5.s,-1.5,0.531372549,measured
a.gal5.s,-2.5,0.241176471,measured
a.gal5.s,-3.5,0.252941176,measured
a.gal5.s,-4.5,0.164705882,measured
a.gal5.s,0,0,measured
a.gal5.s,-0.5,0.250980392,measured
a.gal6.n,-1,0.150980392,measured
a.gal6.n,-1.5,0.360784314,measured
a.gal6.n,-2.5,0.280392157,measured
a.gal6.n,-3.5,0.252941176,measured
a.gal6.n,-4.5,0.203921569,measured
a.gal6.n,0,0,measured
a.gal6.n,-0.5,0.492156863,measured
a.gal8.n,-1,0.521568627,measured
a.gal8.n,-1.5,0.366666667,measured
a.gal8.n,-2.5,0.215686275,measured
a.gal8.n,-3.5,0.156862745,measured
a.gal8.n,-4.5,0.131372549,measured
a.gal8.n,0,0,measured
a.gal8.n,-0.5,0.245098039,measured
a.gal9.n,-1,0.582352941,measured
a.gal9.n,-1.5,0.474509804,measured
a.gal9.n,-2.5,0.21372549,measured
a.gal9.n,-3.5,0.160784314,measured
a.gal9.n,-4.5,0.184313725,measured
a.gal9.n,0,0,measured
a.gal9.n,-0.5,0.758823529,measured
a.musc.s,-1,0.742857143,measured
a.musc.s,-1.5,0.161904762,measured
a.musc.s,-2.5,0.2,measured
a.musc.s,-3.5,0.157142857,measured
a.musc.s,-4.5,0,measured
a.musc.s,0,0,measured
a.musc.s,-0.5,0.833333333,measured
a.sin.n,-1,0.628571429,measured
a.sin.n,-1.5,0.40952381,measured
a.sin.n,-2.5,0.228571429,measured
a.sin.n,-3.5,0.114285714,measured
a.sin.n,-4.5,0.057142857,measured
