T,Extension rate ,Decomposition rate 
10,0.3,4.07
10,0.18,3.2
10,0.26,2.94
10,0.16,3.78
10,0.2,2.35
10,0.14,2.03
10,0.2,2.29
10,0.06,2.18
10,0.33,1.72
10,0.35,3.56
10,0.32,2.83
10,0.36,10.41
10,1.2,4.29
10,1.39,5.64
10,0.44,2.67
10,1.08,2.29
10,1.64,3.47
10,0.36,2.16
10,3.3,22.78
10,3.4,13.52
10,2.28,11.18
10,3.04,6.4
10,1.4,5.15
10,0.49,2.3
10,0.95,2.61
10,0.4,3.68
10,0.39,2.22
10,3.7,11.88
10,3.7,5.97
10,0.81,4.44
10,1.88,3.92
10,1.06,2.55
10,1.92,5.35
10,0.74,2.17
16,0.36,10.21
16,0.26,1.89
16,0.24,6.09
16,0.3,7.23
16,0.24,5.9
16,0.32,0.11
16,0.26,1.92
16,0.18,0.34
16,0.6,6.76
16,0.6,0.14
16,0.68,3.67
16,1.28,21.26
16,0.99,13.38
16,3.7,6.28
16,1.9,5.63
16,3.31,20.28
16,3.06,9.3
16,1.1,5.67
16,5.85,32.27
16,6.5,15.95
16,5.7,18.52
16,7.4,8.89
16,1.53,19.47
16,1.26,12.86
16,1.25,2.43
16,1.52,4.52
16,1.24,6.12
16,7.4,24.59
16,7.4,21.1
16,3.21,18.3
16,3.32,2.02
16,1.64,3.32
16,3.37,16.74
16,1,7.45
22,0.34,17.12
22,0.38,15.42
22,0.32,11
22,0.24,12.3
22,0.4,9.2
22,0.48,39.51
22,0.36,9.26
22,0.66,10.78
22,0.84,8.28
22,0.93,13.28
22,1.56,12.75
22,4.62,47.24
22,1.77,13.62
22,6.46,12.45
22,4.68,18.82
22,6,7.6
22,6.17,16.01
22,1.6,7.96
22,8.67,53.5
22,8.33,43.91
22,8.41,27.94
22,10.57,25.93
22,3.7,42.09
22,0.94,17.39
22,2.9,4.36
22,3.32,8.28
22,2.84,26.29
22,8.27,16.18
22,8.23,73.39
22,7.26,37.43
22,7.4,12.69
22,4.6,6.87
22,5.67,29.06
22,1.04,8.55
