T,Extension rate ,Decomposition rate 
-0.7,0.3,4.07
-0.3,0.18,3.2
0.4,0.26,2.94
0.6,0.16,3.78
-0.1,0.2,2.35
0.5,0.14,2.03
-0.7,0.2,2.29
0.33,0.06,2.18
0.21,0.33,1.72
-0.4,0.35,3.56
-0.2,0.32,2.83
0.7,0.36,10.41
-0.5,1.2,4.29
-0.45,1.39,5.64
0.36,0.44,2.67
0.12,1.08,2.29
0.8,1.64,3.47
0.25,0.36,2.16
-0.6,3.3,22.78
-0.23,3.4,13.52
0.47,2.28,11.18
-0.1,3.04,6.4
-0.5,1.4,5.15
-0.45,0.49,2.3
0.36,0.95,2.61
0.12,0.4,3.68
0.8,0.39,2.22
0.25,3.7,11.88
-0.7,3.7,5.97
0.33,0.81,4.44
0.21,1.88,3.92
-0.2,1.06,2.55
0.7,1.92,5.35
-0.5,0.74,2.17
-0.45,0.36,10.21
0.36,0.26,1.89
0.16,0.24,6.09
0.2,0.3,7.23
0.14,0.24,5.9
0.2,0.32,0.11
0.06,0.26,1.92
0.33,0.18,0.34
-0.68,0.6,6.76
0.25,0.6,0.14
-0.7,0.68,3.67
0.33,1.28,21.26
0.21,0.99,13.38
-0.2,3.7,6.28
0.7,1.9,5.63
0.2,3.31,20.28
0.1,3.06,9.3
0.3,1.1,5.67
0.4,5.85,32.27
0.3,6.5,15.95
0.2,5.7,18.52
-0.5,7.4,8.89
-0.23,1.53,19.47
0.33,1.26,12.86
-0.68,1.25,2.43
0.25,1.52,4.52
-0.7,1.24,6.12
0.33,7.4,24.59
0.21,7.4,21.1
-0.23,3.21,18.3
0.33,3.32,2.02
-0.68,1.64,3.32
0.25,3.37,16.74
-0.7,1,7.45
-0.5,0.34,17.12
-0.45,0.38,15.42
0.36,0.32,11
0.16,0.24,12.3
-0.7,0.4,9.2
-0.3,0.48,39.51
0.4,0.36,9.26
0.6,0.66,10.78
-0.1,0.84,8.28
0.48,0.93,13.28
0.36,1.56,12.75
0.66,4.62,47.24
-0.2,1.77,13.62
0.7,6.46,12.45
-0.5,4.68,18.82
-0.45,6,7.6
0.36,6.17,16.01
0.16,1.6,7.96
0.2,8.67,53.5
0.14,8.33,43.91
0.2,8.41,27.94
0.06,10.57,25.93
0.33,3.7,42.09
-0.68,0.94,17.39
0.25,2.9,4.36
-0.7,3.32,8.28
0.33,2.84,26.29
0.6,8.27,16.18
-0.1,8.23,73.39
0.48,7.26,37.43
0.36,7.4,12.69
0.66,4.6,6.87
-0.2,5.67,29.06
-0.5,1.04,8.55
